,worker_id,english_first_language_x,rev_id_x,toxicity,toxicity_score,english_first_language_y,rev_id_y,aggression,aggression_score,gender,english_first_language,age_group,education
0,0,0.0,298202644.59707725,0.16075156576200417,-0.20876826722338204,0.0,302547210.25415444,0.35386119257087,-0.4613880742913001,male,0,30-45,professional
1,5,0.0,302346076.5782881,0.07724425887265135,-0.07306889352818371,0.0,301900664.09310347,0.10689655172413794,-0.1724137931034483,male,0,18-30,professional
2,7,0.0,306347853.5472528,0.14065934065934066,0.14065934065934066,0.0,298371323.7012609,0.16391852570320078,-0.11348205625606207,male,0,18-30,bachelors
3,8,0.0,295092154.1933333,0.1688888888888889,-0.08888888888888889,0.0,290548442.6641294,0.18173168411037108,0.2159847764034253,male,0,18-30,hs
4,10,0.0,303272767.03177965,0.1694915254237288,0.01694915254237288,0.0,297882412.9228835,0.07795473595976529,-0.18105616093880972,female,0,30-45,professional
5,11,0.0,305889272.6581197,0.09615384615384616,0.2777777777777778,0.0,303516274.59118646,0.11728813559322034,-0.1871186440677966,female,0,30-45,hs
6,12,1.0,315332029.9726316,0.10947368421052632,-0.023157894736842106,0.0,304214224.32952183,0.30561330561330563,0.40124740124740127,male,1,30-45,bachelors
7,14,1.0,283071298.8405797,0.1956521739130435,0.2318840579710145,0.0,302742928.821894,0.09730668983492616,-0.12250217202432667,male,1,30-45,bachelors
8,21,0.0,294273555.61678004,0.1111111111111111,0.08616780045351474,0.0,305127874.3937126,0.12724550898203593,-0.3278443113772455,male,0,18-30,hs
9,23,1.0,301185848.95606697,0.1506276150627615,0.17364016736401675,0.0,306207314.76,0.16296296296296298,-0.4088888888888889,male,1,30-45,professional
10,24,0.0,297061724.2719298,0.21052631578947367,0.4868421052631579,0.0,299352217.69087523,0.34450651769087526,-0.3649906890130354,female,0,18-30,bachelors
11,25,0.0,301696264.1691649,0.17130620985010706,0.11777301927194861,0.0,289231015.1021898,0.1845672575599583,-0.19290928050052136,male,0,30-45,masters
12,26,0.0,305624045.41701245,0.13278008298755187,0.3921161825726141,0.0,303781951.16390586,0.09328683522231909,-0.06364428945074106,male,0,18-30,bachelors
13,27,0.0,294169962.4900222,0.24390243902439024,0.4789356984478936,0.0,300491611.4324324,0.1762632197414806,0.15158636897767333,female,0,45-60,masters
14,30,0.0,282963585.4717391,0.08043478260869565,0.741304347826087,0.0,298983552.7939655,0.2,-0.22413793103448276,female,0,30-45,hs
15,33,0.0,306135083.4058296,0.08744394618834081,0.6860986547085202,0.0,295323230.9686636,0.13179723502304147,-0.013824884792626729,female,0,30-45,doctorate
16,35,0.0,296949904.241453,0.202991452991453,-0.04700854700854701,0.0,295803240.09713227,0.16743755781683625,-0.17391304347826086,male,0,30-45,masters
17,36,0.0,311734728.68526787,0.09821428571428571,0.6316964285714286,0.0,299052911.1016771,0.16247379454926625,-0.11740041928721175,male,0,30-45,hs
18,37,0.0,301600094.3164835,0.10329670329670329,0.6879120879120879,0.0,301568959.2520623,0.13748854262144822,-0.12740604949587533,male,0,Under 18,some
19,40,0.0,309336332.039823,0.16592920353982302,0.5420353982300885,0.0,305323365.9957402,0.12566560170394037,-0.1650692225772098,male,0,30-45,hs
20,44,0.0,300673292.32150775,0.28824833702882485,-0.09977827050997783,0.0,301514085.1835148,0.33981337480559876,-0.30404354587869364,male,0,30-45,professional
21,45,1.0,300740957.05106384,0.18723404255319148,-0.002127659574468085,0.0,301440948.96961325,0.17955801104972377,-0.12154696132596685,female,1,18-30,bachelors
22,46,0.0,310886722.7777778,0.11653116531165311,-0.0948509485094851,0.0,302516359.7889667,0.2819614711033275,-0.45096322241681264,female,0,18-30,bachelors
23,47,0.0,313560108.1160714,0.296875,-0.16517857142857142,0.0,298640132.7701961,0.23686274509803923,-0.4031372549019608,male,0,18-30,bachelors
24,48,0.0,295655888.2141328,0.12205567451820129,0.6852248394004282,0.0,291426671.90997833,0.13449023861171366,-0.1561822125813449,male,0,30-45,bachelors
25,49,0.0,286738751.8684211,0.2543859649122807,0.06140350877192982,0.0,306067459.33439493,0.1751592356687898,-0.16401273885350318,male,0,45-60,hs
26,50,0.0,284693944.1383648,0.26834381551362685,0.16142557651991615,0.0,294329709.1544118,0.09803921568627451,-0.1315359477124183,male,0,30-45,hs
27,54,0.0,307117809.8378378,0.1496881496881497,0.09355509355509356,0.0,292369465.28897715,0.0913604766633565,-0.19960278053624628,female,0,30-45,hs
28,56,0.0,305968332.7861635,0.23060796645702306,-0.1949685534591195,0.0,297042264.9181223,0.25327510917030566,-0.6233624454148472,male,0,18-30,hs
29,57,0.0,294925152.9808917,0.09554140127388536,0.4883227176220807,0.0,304577605.1968504,0.41819772528433946,-0.7191601049868767,male,0,18-30,bachelors
30,58,0.0,303208035.4843424,0.1732776617954071,0.081419624217119,0.0,297357978.81306016,0.18181818181818182,-0.14084507042253522,male,0,18-30,bachelors
31,59,0.0,295035227.0424628,0.09341825902335456,0.07855626326963906,1.0,309310411.82091,0.1393998063891578,-0.26040658276863504,female,0,18-30,bachelors
32,60,0.0,293133173.07894737,0.17763157894736842,0.06578947368421052,0.0,314246078.634981,0.14068441064638784,-0.12547528517110265,male,0,18-30,bachelors
33,62,0.0,304868807.1581197,0.09401709401709402,0.5854700854700855,0.0,299654034.13562894,0.14054813773717498,-0.151791988756149,female,0,30-45,bachelors
34,63,0.0,294624682.0776256,0.1735159817351598,-0.13926940639269406,0.0,306858161.50584483,0.17109458023379384,-0.20935175345377258,female,0,18-30,masters
35,64,1.0,286613982.90088105,0.1696035242290749,0.22687224669603523,0.0,300893361.9325397,0.14384920634920634,-0.18452380952380953,male,1,30-45,bachelors
36,65,1.0,288401872.00212765,0.12127659574468085,0.4531914893617021,0.0,304595396.202346,0.0801564027370479,-0.20821114369501467,male,1,18-30,hs
37,66,0.0,288767737.95681816,0.12727272727272726,-0.06363636363636363,0.0,304833926.03149605,0.08464566929133858,-0.1171259842519685,male,0,30-45,masters
38,67,0.0,307042082.05122954,0.06762295081967214,0.06557377049180328,0.0,296210081.6941704,0.09865470852017937,-0.07713004484304933,male,0,30-45,professional
39,69,0.0,305987901.3973214,0.16071428571428573,0.6116071428571429,0.0,305674397.21907216,0.1254295532646048,-0.14432989690721648,male,0,30-45,hs
40,71,0.0,308850545.4258873,0.162839248434238,0.081419624217119,0.0,296255666.5987395,0.07352941176470588,-0.018907563025210083,male,0,45-60,masters
41,77,0.0,294805525.2748691,0.14921465968586387,0.3900523560209424,1.0,309161313.921875,0.11647727272727272,1.2045454545454546,male,0,18-30,bachelors
42,80,0.0,294742343.3912134,0.09414225941422594,0.0397489539748954,0.0,290292986.38977957,0.10320641282565131,1.5,male,0,18-30,bachelors
43,81,0.0,302376015.6571429,0.1012987012987013,0.15844155844155844,0.0,291338535.1621622,0.22113022113022113,-0.3652743652743653,male,0,18-30,hs
44,82,0.0,311667336.6247379,0.11530398322851153,0.6834381551362684,0.0,282999497.3552239,0.3402985074626866,-0.36716417910447763,male,0,18-30,bachelors
45,84,0.0,285472458.44282746,0.10395010395010396,0.7463617463617463,0.0,296503521.90833336,0.075,-0.06111111111111111,female,0,18-30,masters
46,86,0.0,300674606.46764094,0.12526096033402923,0.20668058455114824,0.0,299442282.8986667,0.06133333333333333,0.021333333333333333,female,0,18-30,professional
47,89,0.0,308264589.87227416,0.24299065420560748,-0.1059190031152648,1.0,298091012.513465,0.11490125673249552,-0.0718132854578097,male,0,30-45,masters
48,90,0.0,297299449.5165289,0.07851239669421488,0.6859504132231405,0.0,305695684.6163424,0.0311284046692607,-0.058365758754863814,female,0,18-30,hs
49,98,0.0,306371818.95501024,0.1656441717791411,0.5132924335378323,0.0,298757406.71467394,0.1585144927536232,-0.2563405797101449,female,0,30-45,hs
50,101,0.0,308940549.3888889,0.11324786324786325,0.47649572649572647,0.0,300271737.5625774,0.34324659231722426,-0.43370508054522927,male,0,18-30,masters
51,103,0.0,300494958.1785714,0.140625,-0.11160714285714286,0.0,311552317.07285714,0.12428571428571429,-0.15285714285714286,female,0,30-45,some
52,105,0.0,307558649.94067794,0.11228813559322035,0.4449152542372881,0.0,304071059.7295174,0.2143658810325477,-0.22895622895622897,female,0,30-45,hs
53,110,0.0,303414420.9191489,0.08936170212765958,0.7340425531914894,0.0,302966509.5385514,0.1764018691588785,-0.11214953271028037,male,0,30-45,bachelors
54,113,0.0,323833309.0869565,0.14782608695652175,-0.1391304347826087,0.0,313901367.8623549,0.12106135986733002,0.5655058043117744,female,0,30-45,masters
55,114,0.0,310036025.982906,0.3034188034188034,0.21153846153846154,0.0,299960233.389755,0.1403118040089087,-0.33853006681514475,female,0,45-60,professional
56,115,0.0,292604657.34292036,0.21238938053097345,0.04424778761061947,0.0,306286758.76352394,0.13446676970633695,-0.1391035548686244,male,0,30-45,professional
57,116,0.0,293643954.29813665,0.2360248447204969,0.06625258799171843,0.0,299616678.12744266,0.08071367884451996,-0.12064570943075616,female,0,30-45,masters
58,117,0.0,312993785.8694737,0.0968421052631579,0.010526315789473684,0.0,304112399.56,0.2497560975609756,-0.3931707317073171,female,0,30-45,bachelors
59,118,0.0,308819066.9958848,0.11316872427983539,0.6728395061728395,1.0,302203722.52350426,0.19764957264957264,-0.1858974358974359,male,0,18-30,bachelors
60,120,1.0,290328788.1848552,0.09799554565701558,-0.06904231625835189,0.0,312099472.1142857,0.0,1.5714285714285714,female,1,18-30,bachelors
61,121,0.0,313898873.5531915,0.1595744680851064,0.3574468085106383,0.0,302873089.50708216,0.09631728045325778,-0.10764872521246459,male,0,18-30,bachelors
62,122,0.0,303169863.1257996,0.08742004264392324,0.6801705756929638,0.0,299095917.10828024,0.06210191082802548,-0.09235668789808917,female,0,45-60,some
63,123,0.0,290948771.8087912,0.2153846153846154,0.4307692307692308,0.0,301305407.4182243,0.29439252336448596,-0.3878504672897196,female,0,18-30,bachelors
64,126,0.0,307759760.3486842,0.3925438596491228,-0.34868421052631576,0.0,310341920.0711893,0.0711892797319933,-0.025963149078726967,female,0,45-60,bachelors
65,127,0.0,293483053.1938998,0.12636165577342048,0.6405228758169934,0.0,308125348.1651143,0.14563928873835733,-0.23962743437764605,male,0,45-60,hs
66,128,0.0,305176406.74347824,0.07608695652173914,0.7891304347826087,0.0,313570962.565,0.12,-0.189,male,0,30-45,bachelors
67,129,0.0,301085505.82067513,0.14767932489451477,0.6160337552742616,0.0,285953327.7013889,0.14814814814814814,-0.1550925925925926,male,0,30-45,bachelors
68,130,0.0,304460356.18619245,0.14853556485355648,0.012552301255230125,0.0,296187835.960471,0.09840201850294365,-0.1261564339781329,female,0,18-30,hs
69,132,0.0,297866407.6939203,0.05241090146750524,-0.041928721174004195,0.0,299396928.8859416,0.20159151193633953,-0.3059239610963749,male,0,18-30,bachelors
70,133,0.0,297953099.61013216,0.0881057268722467,-0.13876651982378854,0.0,294116763.31989247,0.21774193548387097,-0.1586021505376344,female,0,45-60,hs
71,134,0.0,315867157.5213483,0.0898876404494382,-0.0898876404494382,0.0,306150652.9619565,0.03804347826086957,-0.06521739130434782,male,0,18-30,bachelors
72,135,0.0,299553214.9311828,0.1956989247311828,0.432258064516129,0.0,299145552.6671924,0.11198738170347003,-0.30441640378548895,male,0,30-45,hs
73,136,0.0,297861895.93722945,0.16233766233766234,0.6103896103896104,0.0,303539892.9495935,0.1821138211382114,0.03577235772357724,female,0,30-45,hs
74,139,0.0,290060747.6967742,0.05591397849462366,-0.08172043010752689,0.0,315647923.4494382,0.1198501872659176,-0.21348314606741572,male,0,18-30,hs
75,140,0.0,296793965.4737945,0.14255765199161424,-0.033542976939203356,0.0,298477637.0264599,0.19343065693430658,-0.20346715328467152,female,0,18-30,hs
76,141,0.0,294896407.2782427,0.11715481171548117,0.5794979079497908,0.0,301832361.2820097,0.29821717990275526,-0.3387358184764992,male,0,18-30,bachelors
77,144,1.0,315269325.54545456,0.30094043887147337,-0.01567398119122257,0.0,287128654.44473344,0.1625487646293888,-0.18855656697009102,female,1,18-30,bachelors
78,148,1.0,298223341.73125,0.1625,0.134375,0.0,293802965.43892753,0.13704071499503476,-0.020854021847070508,male,1,18-30,bachelors
79,150,0.0,299925302.61538464,0.13721413721413722,0.49272349272349275,0.0,286246462.25870067,0.2308584686774942,-0.07192575406032482,male,0,45-60,hs
80,151,0.0,295685527.52330506,0.09533898305084745,0.05296610169491525,0.0,311086684.0403147,0.14749262536873156,-0.04523107177974434,male,0,30-45,hs
81,155,0.0,304125581.3340249,0.0912863070539419,0.0995850622406639,0.0,300323371.587,0.335,-0.364,female,0,30-45,hs
82,156,0.0,308803924.3072034,0.1271186440677966,0.3283898305084746,0.0,304885924.24187255,0.14044213263979194,-0.17685305591677503,male,0,30-45,bachelors
83,159,0.0,303791005.9054945,0.14725274725274726,-0.07472527472527472,0.0,294627324.59338313,0.14087513340448238,-0.2849519743863394,male,0,18-30,professional
